"Send an email now","Poslat email"
"%d minute","%d minuta"
"%d minutes","%d minut"
"Duration","Délka"
" Error","Chyba"
"Duration: %s","Délka: %s"
"Status: <span %s>%s</span>","Stav: <span %s>%s</span>"
" monthly","měsíčně"
" weekly","týdně"
" daily","denně"
"Status: %s (%s)","Stav: %s (<span lang=""en"">%s</span>)"
"%d days","%d dní"
" %d days (%d weeks)","%d dní (%d týdny)"
"%d days (%d weeks)","%d dní (%d týdnů)"
"%d days (%d month)","%d dní (%d měsíc)"
" %d days (%d months)","%d dní (%d měsíce)"
"%d days (%d months)","%d dní (%d měsíců)"
"The <em>%s</em> field is a required field.","Pole <em>%s</em> je povinné."