"Cron jobs","Kron-Tasks"
"Cron jobs report","Bericht der Kron-Tasks"
"History lifetime","Lebensdauer des History Speichers"
"Replaces the history lifetime of the cron jobs (see {{System/Cron}}).","Ersetzt die Lebensdauer des History Speichers der Kron-Tasks (siehe {{System/Cron}})."
"Number of jobs per page","Taskanzahl pro Seite"
"Use a text filter","Einen Textfilter benutzen"
"Number of jobs","Taskanzahl"
"Table size","Tabellengröße"
"Email reports","Berichte pro E-Mail"
"Separate addresses by a space.","E-Mail-Adressen durch einen Abstand trennen."
"See {{Cron jobs}}.","Siehe {{Kron-Tasks}}."
"Manage cron jobs","Kron-Tasks verwalten"
"New cron job","Neue Kron-Task"
"Job","Task"
"Scheduled into","Programmiert in"
"%d minute","%d Minute"
"%d minutes","%d Minuten"
"Duration","Dauer"
"Running","Im Lauf"
"Missed","Verpasst"
" Created At","Entstanden am"
" Scheduled At","Programmiert am"
" Executed At","Ausgeführt am"
" Finished At","Beendet am"
" Error","In Fehler"
" Success","Beendet"
"Cron job number %d - %s","Kron-Task-Nummer %d - %s"
"Restart the job","Task in Gang bringen"
"Duration: %s","Dauer: %s"
"Status: <span %s>%s</span>","Zustand: <span %s>%s</span>"
" Created At: %s","Entstanden am: %s"
" Scheduled At: %s","Programmiert am: %s"
" Executed At: %s","Ausgeführt am: %s"
" Finished At: %s","Beendet am: %s"
"Module name","Name des Moduls"
"Editable job","Editierbare Task"
" Enabled","Aktiviert"
" Disabled","Deaktiviert"
"Read-only job","Schreibgeschützt Task"
"Job %d: %s","Task %d: %s"
"Status: %s (%s)","Zustand: %s (<span lang=""en"">%s</span>)"
"Can not send the report by email to %s.","Unmöglich den Bericht per E-Mail zu senden bei %s."
" monthly","monatlich"
" weekly","wöchentlich"
" daily","täglich"
"%d days","%d Tage"
"%d days (%d weeks)","%d Tage (%d Wochen)"
"%d days (%d month)","%d Tage (%d Monat)"
"%d days (%d months)","%d Tage (%d Monate)"
"The <em>%s</em> field is a required field.","Das Feld <em>%s</em> ist ein obligatorisches Feld."
"Job number %d has been successfully scheduled.","Die Task Nummer %d wurde programmiert."
"Job number %d has been successfully canceled.","Die Task Nummer %d wurde aufgehoben."
"Job number %d has been successfully deleted.","Die Task Nummer %d wurde gelöscht."
"Job <strong>%s</strong> has been successfully <strong>enabled</strong>.","Die Task <strong>%s</strong> wurde <strong>aktiviert</strong>."
"Job <strong>%s</strong> has been successfully <strong>disabled</strong>.","Die Task <strong>%s</strong> wurde <strong>deaktiviert</strong>."