"INCOMPLETE MODULE INSTALLATION","SIKERTELEN MODUL TELEPÍTÉS"
"There is conflict (<em>%s</em>).","Probléma merült fel (<em>%s</em>)."
"%d minute","%d perc"
"%d minutes","%d perc"
"Duration","Hossz"
" Error","Hiba"
"Duration: %s","Hossz: %s"
"Status: <span %s>%s</span>","Állapot: <span %s>%s</span>"
" monthly","havonta"
" weekly","hetente"
" daily","napi"
"Status: %s (%s)","Állapot: %s (<span lang=""en"">%s</span>)"
"%d days","%d nap"
" %d days (%d weeks)","%d nap (%d hét)"
"%d days (%d weeks)","%d nap (%d hét)"
"%d days (%d month)","%d nap (%d hónap)"
" %d days (%d months)","%d nap (%d hónap)"
"%d days (%d months)","%d nap (%d hónap)"