"%d minute","%d minúta"
"%d minutes","%d minút"
"Duration","Trvanie"
" Error","Chyba"
"Duration: %s","Trvanie: %s"
"Status: <span %s>%s</span>","Stav: <span %s>%s</span>"
" monthly","mesačne"
" weekly","týždenne"
" daily","denne"
"Status: %s (%s)","Stav: %s (<span lang=""en"">%s</span>)"
"%d days","%d dní"
" %d days (%d weeks)","%d dní (%d týždne)"
"%d days (%d weeks)","%d dní (%d týždňov)"
"%d days (%d month)","%d dní (%d mesiac)"
" %d days (%d months)","%d dní (%d mesiace)"
"%d days (%d months)","%d dní (%d mesiacov)"