"%d minute","%d dakika"
"%d minutes","%d dakika"
"Duration","Süre"
" Error","Hata"
"Duration: %s","Süre : %s"
"Status: <span %s>%s</span>","Durum : <span %s>%s</span>"
" monthly","ayda bir"
" weekly","haftada bir"
" daily","günde bir"
"Status: %s (%s)","Durum : %s (<span lang=""en"">%s</span>)"
"%d days","%d gün"
" %d days (%d weeks)","%d gün (%d hafta)"
"%d days (%d weeks)","%d gün (%d hafta)"
"%d days (%d month)","%d gün (%d ay)"
" %d days (%d months)","%d gün (%d ay)"
"%d days (%d months)","%d gün (%d ay)"